Step,DQN_v0,DQN_v1,DQN_v2,Mean,CI_lower,CI_upper
5248,,,3.398848057,3.398848057,,
5256,,,3.920691013,3.920691013,,
5272,,-1.203359723,,-1.203359723,,
5288,,,4.132757187,4.132757187,,
5312,,-0.732134819,,-0.732134819,,
5328,,,4.050773144,4.050773144,,
5338,-1.588677883,,,-1.588677883,,
5344,,,4.116646767,4.116646767,,
5352,,-0.324777454,,-0.324777454,,
5352,,-0.324777454,,-0.324777454,,
5376,,,4.102307796,4.102307796,,
5392,,-1.012078762,,-1.012078762,,
5400,,-1.498537421,,-1.498537421,,
5424,,,4.106991291,4.106991291,,
5440,,-2.912503958,4.106991291,0.5972436665,-2.44228693718909,3.6367742701890906
5472,,-1.539690256,,-1.539690256,,
5488,,-1.592884779,,-1.592884779,,
5492,-2.935147285,,,-2.935147285,,
5504,,,5.564823151,5.564823151,,
5504,,,5.564823151,5.564823151,,
5520,,-0.678532958,,-0.678532958,,
5544,,,5.043576717,5.043576717,,
5560,,-0.175876513,,-0.175876513,,
5568,,,4.635278702,4.635278702,,
5592,,-0.188424334,,-0.188424334,,
5600,,,5.569283009,5.569283009,,
5608,,-0.624885619,,-0.624885619,,
5624,,,4.485657215,4.485657215,,
5640,,-0.218666315,4.943902493,2.362618089,0.12716022074342348,4.598075957256577
5664,,-0.188631535,,-0.188631535,,
5667,-0.452223718,,,-0.452223718,,
5688,,,4.388391018,4.388391018,,
5696,,-0.106586948,,-0.106586948,,
5704,,,4.420022011,4.420022011,,
5712,,-1.081472397,,-1.081472397,,
5744,,-1.022111177,,-1.022111177,,
5752,,,3.50462842,3.50462842,,
5768,,,4.562079906,4.562079906,,
5784,,-0.541864216,,-0.541864216,,
5792,,,4.005416393,4.005416393,,
5824,,-0.02868339,,-0.02868339,,
5832,,,3.635221958,3.635221958,,
5840,0.037052639,,,0.037052639,,
5848,,-0.467622161,,-0.467622161,,
5864,,0.03393143,3.152616978,1.593274204,0.24284374850830215,2.943704659491698
5880,,,3.597276926,3.597276926,,
5904,,-0.423077047,,-0.423077047,,
5912,,,3.151746988,3.151746988,,
5928,,,2.684391499,2.684391499,,
5944,,0.824819982,,0.824819982,,
5968,,1.51321435,2.219758511,1.8664864305000002,1.5605438343392186,2.1724290266607817
6000,,2.396164894,,2.396164894,,
6008,,,2.680639267,2.680639267,,
6016,,,2.671074152,2.671074152,,
6024,,1.452382684,,1.452382684,,
6031,1.03340888,,,1.03340888,,
6064,,1.945933461,1.835533381,1.8907334210000002,1.842928784070083,1.9385380579299174
6080,,2.392983913,,2.392983913,,
6088,,,2.756229877,2.756229877,,
6104,,,2.728986025,2.728986025,,
6112,,2.999301434,,2.999301434,,
6128,,2.357957125,,2.357957125,,
6152,,,1.81737721,1.81737721,,
6160,,3.734408379,,3.734408379,,
6168,,,2.750317812,2.750317812,,
6192,,,1.78783536,1.78783536,,
6200,,2.74103713,,2.74103713,,
6201,1.333159685,,,1.333159685,,
6240,,4.185293674,1.325190544,2.755242109,1.5167811249883052,3.9937030930116952
6256,,4.673318386,1.411785722,3.042552054,1.6302669828516307,4.454837125148369
6280,,3.793720961,,3.793720961,,
6304,,,1.877248883,1.877248883,,
6320,,3.742330313,1.414266825,2.578298569,1.5702175078844949,3.5863796301155055
6352,,2.811434507,,2.811434507,,
6357,1.021122098,,,1.021122098,,
6360,,,2.041476011,2.041476011,,
6368,,3.317461729,,3.317461729,,
6384,,,1.927252412,1.927252412,,
6400,,,2.877691507,2.877691507,,
6408,,4.056886673,,4.056886673,,
6416,,4.17266798,,4.17266798,,
6440,,,1.43941164,1.43941164,,
6464,,4.051038265,1.551646233,2.801342249,1.7190737521357948,3.8836107458642055
6488,,4.96364975,,4.96364975,,
6504,,,1.118456602,1.118456602,,
6505,0.625339687,,,0.625339687,,
6520,,4.50357914,,4.50357914,,
6536,,,2.14768672,2.14768672,,
6568,,3.237452507,2.083144426,2.6602984665,2.1604684055301666,3.1601285274698334
6576,,4.17936182,,4.17936182,,
6592,,,2.540101767,2.540101767,,
6616,,4.204589844,,4.204589844,,
6624,,,2.567895174,2.567895174,,
6648,,,2.588395119,2.588395119,,
6656,,5.173573017,,5.173573017,,
6672,,,2.538838863,2.538838863,,
6680,,4.282888412,,4.282888412,,
6690,-0.823064387,,,-0.823064387,,
6696,,,2.07915926,2.07915926,,
6712,,4.422286034,,4.422286034,,
6744,,4.507401943,1.186935067,2.847168505,1.4093641714796221,4.284972838520378
6760,,,1.146409631,1.146409631,,
6768,,5.481182098,,5.481182098,,
6800,,,2.051334858,2.051334858,,
6816,,5.578801632,,5.578801632,,
6824,,,1.605440497,1.605440497,,
6842,-2.975166798,,,-2.975166798,,
6848,,6.050711155,,6.050711155,,
6864,,,2.147653818,2.147653818,,
6888,,6.554607868,,6.554607868,,
6896,,,3.064514399,3.064514399,,
6912,,7.694421291,,7.694421291,,
6920,,,2.110738754,2.110738754,,
6944,,7.27086401,2.123804569,4.6973342895000005,2.468592174152732,6.926076404847269
6960,,7.78780508,,7.78780508,,
6976,,,1.687534332,1.687534332,,
7016,,6.949193478,2.045090199,4.4971418385,2.373602827301716,6.620680849698284
7020,-2.50302887,,,-2.50302887,,
7032,,,2.902129889,2.902129889,,
7040,,7.346698761,,7.346698761,,
7056,,,1.955209136,1.955209136,,
7064,,6.897770405,,6.897770405,,
7096,,6.910266399,,6.910266399,,
7104,,,1.5423702,1.5423702,,
7120,,7.833506584,,7.833506584,,
7136,,,2.860115528,2.860115528,,
7160,,7.363760471,,7.363760471,,
7166,-2.434992075,,,-2.434992075,,
7168,,,2.995907545,2.995907545,,
7184,,7.568021297,,7.568021297,,
7200,,,3.480363607,3.480363607,,
7216,,7.116342545,3.851253748,5.4837981465,4.069973224593012,6.897623068406988
7240,,7.610172272,,7.610172272,,
7256,,6.650076389,3.347291231,4.998683809999999,3.5685358849648976,6.428831735035101
7288,,6.169987679,,6.169987679,,
7296,,,3.389412165,3.389412165,,
7296,,,3.389412165,3.389412165,,
7313,-2.434381247,,,-2.434381247,,
7320,,6.137526989,,6.137526989,,
7336,,4.70354414,2.455373287,3.5794587135,2.605972178127134,4.552945248872867
7376,,3.753861666,2.37871027,3.066285968,2.470827946507182,3.661743989492818
7392,,3.253656626,2.344282627,2.7989696265,2.405199134162477,3.1927401188375226
7424,,,2.81708765,2.81708765,,
7432,,2.740960121,,2.740960121,,
7448,,2.765969753,,2.765969753,,
7464,,,3.768514872,3.768514872,,
7480,,2.259926558,,2.259926558,,
7486,-2.650008678,,,-2.650008678,,
7504,,,5.141379833,5.141379833,,
7512,,2.263088703,,2.263088703,,
7536,,1.729468346,,1.729468346,,
7544,,,5.192860603,5.192860603,,
7552,,,5.700881958,5.700881958,,
7568,,0.821715057,,0.821715057,,
7592,,,6.08730793,6.08730793,,
7608,,-0.097152032,,-0.097152032,,
7617,-2.459862232,,,-2.459862232,,
7624,,0.348378181,6.036363602,3.1923708915,0.7294009560292354,5.655340826970765
7640,,,5.147292614,5.147292614,,
7672,,0.341355383,,0.341355383,,
7680,,,5.585738182,5.585738182,,
7696,,1.281375766,,1.281375766,,
7712,,,5.218578339,5.218578339,,
7728,,0.804214299,,0.804214299,,
7736,,,4.777829647,4.777829647,,
7752,,-0.565544009,,-0.565544009,,
7760,,,4.845145702,4.845145702,,
7776,,0.359542221,,0.359542221,,
7779,-4.40265131,,,-4.40265131,,
7784,,,3.998156548,3.998156548,,
7808,,-0.153035626,3.990994215,1.9189792945000002,0.1245617363266045,3.713396852673396
7840,,-0.670827568,3.931711435,1.6304419335,-0.3625159157533535,3.6233997827533537
7872,,-0.198778287,3.041755199,1.4214884559999998,0.018296295654926187,2.8246806163450735
7896,,-0.210566744,,-0.210566744,,
7904,,,2.615873814,2.615873814,,
7928,,-0.285486251,2.591351748,1.1529327485,-0.0927746463531971,2.398640143353197
7936,,-0.752234161,,-0.752234161,,
7958,-6.090168953,,,-6.090168953,,
7968,,-0.767821789,1.764431477,0.498304844,-0.5981929845860579,1.5948026725860578
7984,,-1.201856852,2.213261843,0.5057024955000001,-0.9730872779045815,1.9844922689045816
8016,,-1.748050213,2.144192696,0.1980712415000001,-1.487319376946923,1.8834618599469233
8048,,-1.287350059,2.09796977,0.4053098555000001,-1.0605766304245974,1.8711963414245976
8064,,,2.135166645,2.135166645,,
8072,,0.088101082,,0.088101082,,
8096,,,1.71914804,1.71914804,,
8112,,,1.704474449,1.704474449,,
8120,,0.620010257,,0.620010257,,
8140,-6.419306278,,,-6.419306278,,
8144,,,1.203418493,1.203418493,,
8152,,1.577417016,,1.577417016,,
8160,,1.096008182,,1.096008182,,
8176,,,0.204847664,0.204847664,,
8216,,1.141774535,-0.259284019,0.441245258,-0.1654308919767466,1.0479214079767465
8232,,1.698040247,0.201053992,0.9495471195,0.30133305652693443,1.5977611824730658
8264,,1.189854145,-0.742156208,0.22384896849999997,-0.6127360545362712,1.0604339915362713
8292,-6.126904011,,,-6.126904011,,
8296,,1.214719296,,1.214719296,,
8304,,,-0.757509768,-0.757509768,,
8312,,,-1.191280842,-1.191280842,,
8344,,,-1.259713769,-1.259713769,,
8360,,1.163069367,,1.163069367,,
8368,,,-1.654353738,-1.654353738,,
8392,,2.058250904,,2.058250904,,
8432,,1.559721231,-1.859452367,-0.14986556800000006,-1.6304111659085225,1.3306800299085224
8448,,,-1.923725724,-1.923725724,,
8456,-7.123305798,2.467846394,,-2.327729702,-6.480820426917406,1.8253610229174058
8480,,2.899634838,,2.899634838,,
8488,,,-1.924257755,-1.924257755,,
8496,,,-1.910813689,-1.910813689,,
8512,,2.423895121,,2.423895121,,
8528,,2.451188326,,2.451188326,,
8536,,,-1.90074718,-1.90074718,,
8560,,,-1.829947114,-1.829947114,,
8568,,2.042080402,,2.042080402,,
8592,,1.599873781,,1.599873781,,
8600,,,-1.818367004,-1.818367004,,
8624,,1.542446017,,1.542446017,,
8632,,,-1.429164529,-1.429164529,,
8640,-6.342940331,,,-6.342940331,,
8648,,2.052057028,-1.019209504,0.5164237620000001,-0.8134736572524675,1.8463211812524676
8688,,2.087743282,-0.993584394,0.547079444,-0.7871745784000344,1.8813334664000343
8720,,,0.08250232,0.08250232,,
8728,,4.45935297,,4.45935297,,
8736,,4.433805943,,4.433805943,,
8752,,,0.205155045,0.205155045,,
8776,,,0.201538473,0.201538473,,
8784,,4.868140697,,4.868140697,,
8794,-4.302016735,,,-4.302016735,,
8800,,,0.222644165,0.222644165,,
8808,,5.397641182,,5.397641182,,
8832,,4.464437962,-0.186104476,2.139166743,0.12542279665718903,4.152910689342811
8864,,3.981473684,1.228757501,2.6051155925,1.4131545205567317,3.797076664443268
8888,,,1.280661702,1.280661702,,
8912,,3.479601383,,3.479601383,,
8928,,,0.286222875,0.286222875,,
8936,,4.372274399,,4.372274399,,
8950,-3.850285292,,,-3.850285292,,
8960,,4.813242435,0.778787374,2.7960149045000002,1.0490446178736497,4.542985191126351
8984,,3.372833252,0.343322724,1.858077988,0.5462614488597948,3.1698945271402055
9008,,3.408706427,0.355027378,1.8818669024999999,0.5595850867808456,3.2041487182191544
9048,,,1.245962024,1.245962024,,
9064,,3.862240314,,3.862240314,,
9072,,,1.755732894,1.755732894,,
9080,,4.325222492,,4.325222492,,
9104,,,1.752930045,1.752930045,,
9112,,3.885993719,,3.885993719,,
9136,,,2.373911619,2.373911619,,
9144,,3.396561861,,3.396561861,,
9147,-4.739281178,,,-4.739281178,,
9160,,3.425092459,2.917516947,3.171304703,2.9515180591345533,3.391091346865447
9192,,2.431818485,,2.431818485,,
9208,,,3.870360851,3.870360851,,
9224,,2.889101505,,2.889101505,,
9232,,,4.335811138,4.335811138,,
9240,,2.404639482,,2.404639482,,
9256,,,4.725141048,4.725141048,,
9272,,2.869992495,,2.869992495,,
9280,,,4.19308424,4.19308424,,
9304,,3.177769423,,3.177769423,,
9320,,2.715494871,4.57834959,3.6469222305000004,2.8402824753931384,4.4535619856068625
9352,,,5.510551453,5.510551453,,
9357,-1.209614635,,,-1.209614635,,
9360,,2.320008755,,2.320008755,,
9368,,,4.547869205,4.547869205,,
9392,,2.443789244,,2.443789244,,
9400,,,4.642771721,4.642771721,,
9408,,3.345435858,,3.345435858,,
9440,,,4.114309788,4.114309788,,
9448,,1.899441957,,1.899441957,,
9464,,1.004889011,3.605736256,2.3053126335,1.1791127407336137,3.4315125262663857
9504,,,3.696514606,3.696514606,,
9512,,1.139577985,,1.139577985,,
9519,-2.198684454,,,-2.198684454,,
9528,,1.597249985,3.264586926,2.4309184554999996,1.708940381712881,3.1528965292871183
9552,,1.084972858,3.707952261,2.3964625594999998,1.2606791611993282,3.5322459578006713
9584,,0.138353333,3.662555456,1.9004543945,0.3744301112054731,3.426478677794527
9608,,,3.626926184,3.626926184,,
9616,,0.143770367,,0.143770367,,
9656,,-0.197029784,4.547089577,2.1750298965000003,0.1207659538941992,4.229293839105802
9679,-2.429777622,,,-2.429777622,,
9688,,,4.930697918,4.930697918,,
9696,,0.191046685,,0.191046685,,
9712,,,4.02996254,4.02996254,,
9720,,0.17465423,,0.17465423,,
9744,,-0.782820702,4.413867474,1.815523386,-0.4347086019811115,4.065755373981111
9768,,,4.92527771,4.92527771,,
9776,,-1.205736876,,-1.205736876,,
9800,,-2.094746113,4.470181465,1.1877176759999999,-1.654979352276526,4.0304147042765255
9824,,-2.044869423,3.521168232,0.7381494044999999,-1.6720155993253856,3.148314408325385
9848,,-3.089263916,,-3.089263916,,
9856,,,3.976800442,3.976800442,,
9863,-2.281556845,,,-2.281556845,,
9880,,,3.882801771,3.882801771,,
9896,,-2.584457397,,-2.584457397,,
9904,,,2.931870937,2.931870937,,
9912,,-2.543988466,,-2.543988466,,
9928,,,1.98191011,1.98191011,,
9968,,-1.544278622,,-1.544278622,,
9976,,,1.945602894,1.945602894,,
