Step,PPO_v0,PPO_v1,PPO_v2,Mean,CI_lower,CI_upper
7600,5.341029644,8.723982811,1.339891195,5.134967883333334,2.8714213020302353,7.398514464636433
7800,4.941412926,7.403983116,1.050677896,4.465357979333334,2.503748974064554,6.426966984602113
8000,5.094830036,8.283983231,0.777762771,4.7188586793333345,2.411924655219347,7.025792703447322
8200,5.709301949,8.289110184,0.701964796,4.900125643,2.5377432248699754,7.262508061130024
8400,4.90412569,7.005126476,1.324310184,4.41118745,2.6522645355573395,6.17011036444266
8600,4.499749184,8.325126648,-0.00679471,4.2726937073333335,1.7187339860558453,6.826653428610822
8800,3.395389795,7.880000114,-2.204605579,3.0235947766666675,-0.07046152014451623,6.117651073477852
9000,3.017212629,10.96000004,-4.563987732,3.1377416456666665,-1.6159192272499436,7.891402518583277
9200,4.283801079,11.84000015,-7.063907146,3.019964694333334,-2.8068286852627553,8.846758073929422
9400,3.978412151,9.199999809,-3.180164337,3.332749207666667,-0.4733204455864488,7.138818860919783
9600,6.363768578,7.0,0.580083311,4.647950629666666,2.4818606040710964,6.814040655262236
9800,6.254138947,3.480000019,2.612841368,4.115660111333333,2.9508946044425564,5.280425618224109
10000,5.414823055,1.720876098,3.63633585,3.590678334333333,2.4593835307727674,4.721973137893899
10200,5.75950098,3.04087615,1.142528772,3.314301967333334,1.8932311540182372,4.73537278064843
10400,1.817949533,5.680876255,-0.565778911,2.3110156256666667,0.3805839233460606,4.241447327987273
10600,-0.750579953,8.760000229,-3.073029757,1.6454635063333327,-2.1940148692074644,5.48494188187413
10800,-0.128698274,7.880000114,-0.394064844,2.452412332,-0.4271473154942047,5.331971979494205
11000,1.163834095,5.679999828,0.633061886,2.492298603,0.7939712152415057,4.190625990758495
11200,3.571294308,4.800000191,2.706718683,3.6926710606666666,3.048512858533947,4.336829262799386
11400,5.11770153,5.239999771,6.960496902,5.772732734333332,5.141713617121166,6.403751851545499
11600,3.196314573,10.52000046,5.775426865,6.497247299333334,4.222396015944684,8.772098582721984
11800,2.840652943,10.07999992,5.052681923,5.991111595333334,3.7193399421857407,8.262883248480927
12000,2.911550522,9.640000343,5.417822361,5.989791075333334,3.9074212949454172,8.07216085572125
12200,0.775070488,7.440000057,1.003682375,3.07291764,0.7558648938071908,5.389970386192809
12400,4.370354176,8.760000229,-0.176330999,4.3180078019999995,1.5816855168913961,7.054330087108603
12600,3.484406948,8.760000229,-1.756502509,3.4959682226666664,0.27595418696971263,6.715982258363621
12800,4.054133892,8.760000229,-0.45583871,4.119431803666666,1.2974564516073,6.941407155726033
13000,5.876965523,7.440000057,2.184756517,5.167240699,3.5147223752896406,6.819759022710359
13200,6.790357113,5.239999771,0.11413087,4.048162584666667,1.9085052416872137,6.187819927646119
