Step,Value
10328,3.725788116
10360,3.720835209
10384,4.182174206
10408,3.225807905
10432,2.275809288
10472,1.860844731
10504,2.778577089
10528,2.7936728
10568,3.25067234
10600,3.257661343
10640,3.707484007
10648,3.685493231
10688,4.476729393
10728,4.524218082
10768,5.592189789
10784,6.078609467
10808,6.065326214
10848,5.125295162
10864,5.16116333
10904,4.594756126
10920,4.585348129
10952,3.646615028
10976,4.081711292
11016,5.0325284
11032,5.038058758
11080,4.509442329
11104,4.520242214
11128,4.560264111
11168,4.611521244
11192,5.672445774
11224,6.112348557
11256,5.63835001
11280,5.590974808
11304,4.613954067
11344,4.163925648
11360,4.191835403
11392,4.21394062
11432,3.894390583
11464,4.32984066
11488,3.418563366
11536,3.017951965
11552,3.453804016
11584,3.4090693
11616,3.373201132
11632,3.865874052
11664,3.423964262
11680,2.907827854
11712,2.870100737
11744,2.462563753
11760,1.979608655
11792,1.503230572
11840,1.850900412
11864,2.287242889
11904,2.245685577
11928,3.114117861
11968,2.635253191
12000,3.086271286
12024,3.433835268
12064,3.444413662
12096,4.389739513
12112,3.867872477
12144,3.882454157
12176,3.462790251
12232,2.932577133
12264,3.127692461
12272,3.189592361
12312,2.318753481
12352,2.816378593
12368,2.73111558
12400,3.184846163
12440,3.611140013
12448,4.117235661
12488,4.019615173
12496,3.56839776
12536,4.042558193
12568,3.68158865
12600,2.349015236
12616,2.865342617
12640,0.976326168
12664,0.550621331
12696,-0.894907951
12728,-0.743228257
12744,-0.261774421
12784,-0.761796772
12816,-1.268622875
12864,-0.874162912
12896,-1.320191979
12904,-1.72024858
12952,-2.010044575
12984,-1.983328104
13000,-1.495656371
13032,-1.987058878
13064,-1.996881247
13072,-1.996433258
13120,-1.985259295
13144,-2.102025509
13168,-2.042195559
13192,-2.443288088
13248,-3.378611088
13280,-2.948271751
13296,-3.001238823
13328,-2.065397978
13352,-2.07700038
13400,-1.545989275
13424,-0.613007188
13456,-0.584296465
13480,-0.545628011
13520,-1.147668958
13544,-1.011191368
13560,-0.503351271
13600,-0.528558075
13616,-0.530153394
13664,0.324881345
13688,0.710411608
13712,0.739189148
13760,1.26317656
13784,1.333830714
13816,0.916099966
13840,1.495057702
13864,0.994796336
13912,1.033104897
13920,2.366631746
13952,2.382504702
13984,2.352372885
14024,2.368758678
14040,2.859480143
14080,3.31512475
14112,4.209486485
14144,4.684100628
14168,3.263028383
14200,3.199255466
14224,3.229158401
14248,2.800909758
14280,2.333839655
14304,2.364233255
14336,3.276843786
14376,3.75181818
14408,4.307364464
14432,3.358052969
14456,3.301538467
14480,2.323861122
14512,2.760951281
14560,3.230640173
14568,2.758892298
14608,3.342281342
14624,2.363277674
14656,2.336762905
14696,2.259370804
14728,3.706254721
14744,3.718258381
14784,2.775561333
14808,2.782722712
14824,2.320691586
14864,0.888604939
14872,0.966888666
14912,0.0447556
14952,1.393003345
14984,2.344220877
15016,3.240731955
15048,3.260651827
15080,3.301301479
15120,3.300225735
15152,3.787184477
15168,3.277331352
15200,2.838776112
15224,2.845392466
15240,2.705726147
15312,2.223031282
15328,2.703513384
15376,3.617074728
15400,3.617852688
15432,3.649725199
15472,3.210755587
15512,3.279625416
15520,3.11578083
15544,2.610979795
15592,3.591478109
15608,4.996421814
15672,7.346691608
15688,8.251583099
15712,6.862318516
15728,6.392318726
15760,4.328396797
15776,4.150930882
15808,3.660734415
15840,3.234345913
15872,2.742223501
15896,3.25493145
15920,3.737324238
15944,4.212569714
15976,3.396196842
16016,3.850223541
16056,3.140523195
16088,3.157078028
16104,2.174931288
16144,2.055850744
16176,2.081142187
16192,0.581923902
16232,1.464332461
16248,1.199234366
16296,0.725284219
16320,0.270814478
16352,-0.236709669
16368,-1.638340592
16416,-2.159706354
16424,-1.219706297
16472,-0.726110816
16504,1.455150127
16520,1.018010497
16560,0.986831963
16576,1.435188293
16616,0.486812025
16632,0.350827903
16656,0.832997024
16688,0.791322947
16728,0.885103941
16760,1.420950651
16800,1.962207079
16816,1.404026508
16848,2.828814745
16864,2.416665077
16896,1.445880055
16928,1.585319281
16968,1.538078785
16984,2.923919916
17032,3.879087448
17056,3.417865276
17096,2.946021795
17112,2.918138981
17144,3.046234369
17184,3.545906544
17208,4.024446964
17240,3.063562632
17272,3.047334433
17296,3.542722702
17320,3.583517313
17360,3.530827761
17392,3.190712929
17416,3.638305426
17456,4.184273243
17480,4.07488203
17504,3.548821926
17536,3.124165058
17576,3.780236959
17600,3.334769726
17624,3.816394091
17656,3.84453702
17688,4.254013538
17704,4.315898895
17744,2.788920164
17776,2.773502827
17808,2.303438425
17824,3.108802795
17840,2.014734745
17872,2.242958307
17904,1.694390416
17944,1.700849891
17976,2.691516399
17992,2.798515558
18032,1.868514895
18040,1.859515667
18088,2.445331812
18120,2.45813036
18136,1.484534979
18192,1.975798965
18208,2.962743282
18248,2.539860964
18272,2.880809546
18288,3.267434597
18312,2.294282436
18360,2.334055901
18384,3.708573818
18416,3.353845119
18448,3.510680676
18488,3.931718826
18496,3.440983295
18544,3.147045612
18576,3.130463362
18616,4.661360741
18624,5.257357121
18664,4.843349457
18696,4.868799686
18720,4.278620243
18752,3.688845873
18792,5.075124741
18800,5.515124798
18840,5.025475025
18872,5.000906467
18896,5.564684868
18928,5.08069706
18968,4.580476761
19000,4.545927048
19016,4.668628216
19040,4.157719135
19064,4.222873211
19088,3.759645462
19120,1.890234351
19144,2.749208689
19168,2.29467392
19200,1.797169805
19240,2.250743866
19272,3.645586252
19296,2.767802
19320,2.795289993
19344,1.425179005
19368,1.302025318
19392,0.314693987
19424,-0.478381455
19448,0.55463028
19472,0.029914569
19512,-0.495705903
19520,-0.685933173
19544,-1.159159541
19576,-2.088157415
19600,-1.665935278
19624,-2.617543221
19656,-3.136900187
19688,-3.140622854
19712,-2.486876488
19728,-2.507746696
19768,-2.498527288
19800,-1.142434239
19816,-2.089101791
19832,-2.22711587
19872,-2.744728565
19896,-2.258684635
19928,-3.187220573
19960,-3.232851744
19976,-3.241729975
20016,-3.233378649
20032,-3.099573135
20072,-2.647302628
20112,-1.352018476
20128,-1.812356591
20160,-1.27813828
20208,-1.13154161
20240,-0.494030803
20264,0.03141737
20288,0.922281802
20328,1.896964669
20360,1.970710158
20384,2.061814785
20416,2.043239355
20424,1.426322222
20464,2.230352879
20480,2.584113121
20512,1.140822291
20536,1.143621445
20568,1.812431693
20592,1.826506495
20608,1.327469945
20640,0.848253667
20664,0.366785705
20688,0.811903179
20744,2.188679695
20768,3.074589968
20792,2.646974802
20816,1.663030982
20864,1.19776845
20880,1.665521741
20928,2.087571144
20944,0.525260508
20960,0.970790744
20984,-0.021963989
21016,-0.627573133
21048,-1.120483637
21072,-0.673527539
21104,-0.229613781
21128,-0.063964032
21152,-0.454170793
21184,-0.934762001
21224,0.166935176
21232,0.648449004
21264,0.068266377
21288,0.07231494
21328,-0.399611384
21344,0.49170354
21376,0.978993118
21392,-0.425673097
21432,-1.349581003
21456,-2.224275351
21480,-1.242349505
21528,-1.625629544
21544,-0.686565757
21576,-1.572812438
21608,-1.641077518
21624,-1.238255501
21656,-1.528051853
21696,-1.013426661
21712,-0.837584555
21744,0.126463905
21784,-0.289479792
21824,0.155384988
21840,0.187036633
21872,0.623057365
21904,0.623858452
21944,1.039607525
21960,1.537359476
22000,2.097885847
22024,2.426517963
22048,3.354989529
22088,2.943838358
22112,2.827150583
22128,3.159748554
22160,3.603428125
22184,2.670686483
22208,2.118278742
22232,2.140682697
22248,0.655824542
22288,1.082859516
22304,0.556386173
22336,0.610625803
22368,0.544937193
22392,0.991354823
22416,0.532632291
22464,0.041157588
22488,0.449016213
22512,-0.431127399
22536,-1.356938839
22560,-1.361488819
22584,-1.359371185
22608,-1.857499957
22632,-2.826947689
22680,-3.303184986
22704,-3.074974775
22728,-3.064726591
22760,-3.475649834
22792,-2.866981506
22808,-2.730265856
22840,-2.745634556
22864,-2.813579798
22888,-1.841092348
22936,-1.364166856
22944,-0.856701672
22992,-1.30371356
23016,0.234396309
23056,-0.188953936
23064,-0.207859755
23112,-0.646064401
23136,-0.157499075
23168,0.329517215
23216,-0.547762632
23240,-0.162015155
23280,-0.141324267
23312,0.797336161
23336,0.435416192
23360,0.92708379
23408,1.982218742
23440,2.422339439
23456,1.537641644
23488,0.958325267
23504,0.442326397
23536,-0.00948317
23576,0.973101318
23608,1.944236755
23632,1.965630054
23664,2.89908123
23696,2.84050107
23736,2.836168766
23752,2.36807847
23792,1.980020046
23816,2.114974737
23856,2.051097393
23872,2.000663757
23912,2.45074892
23936,2.789037704
23976,3.709601164
24000,4.214102745
24024,3.707362652
24064,3.093224764
24104,4.487052917
24128,5.411293507
24160,5.268044949
24232,5.221315384
24248,5.74256134
24288,5.797158241
24296,5.800537586
24328,5.712786198
24376,5.275753498
24408,5.275753498
24432,4.861452579
24456,4.228516102
24472,3.745339394
24520,4.128478527
24544,5.492119789
24584,5.495350361
24616,6.373687267
24640,5.888495922
24672,6.353627682
24680,5.467623711
24720,4.125146389
24760,4.587722301
24768,4.585077763
24808,2.782590389
24808,2.782590389
24872,1.394747496
24888,2.336943388
24928,1.884799123
24952,1.904455304
24976,1.362145782
25016,2.280252457
25032,2.338504076
25064,2.395668983
25096,2.376983404
25128,1.443895221
25160,1.463356614
25192,3.031328917
25216,3.024805784
25248,2.586216927
25288,2.103818893
25312,2.185817003
25344,1.300126314
25368,1.785317779
25408,1.301951408
25432,2.185551882
25464,3.063951492
25496,3.038518667
25520,3.033056736
25552,4.017809868
25584,3.559016466
25640,4.807395935
25680,4.805522919
25712,4.331851482
25744,5.304979801
25768,5.330822945
25816,4.831899166
25856,4.359132767
25888,5.230426311
25920,5.196283817
25944,4.716718674
25968,4.211036682
26016,4.172315121
26024,4.172315121
26064,4.12332201
26080,4.155024529
26112,2.603642702
26120,2.151877165
26160,1.232564807
26176,0.363934159
26208,0.404961556
26216,-0.046058562
26256,-0.594635904
26296,-0.973832726
26320,-0.792709172
26368,-1.749087334
26376,-0.833630025
26440,0.50587976
26456,0.524866462
26472,0.475067407
26496,-0.01276245
26536,0.460276902
26576,0.920760751
26600,0.074825041
26632,0.09225776
26656,0.079469576
26680,0.156755045
26704,-0.458690822
26736,-0.953502297
26752,-0.995693862
26784,-0.130693659
26816,-0.444021672
26840,0.858493388
26864,1.30427742
26888,0.875518382
26912,0.435872197
26952,0.846861959
26968,2.310925722
27000,1.696445584
27024,0.720463514
27056,-0.247257426
27072,-1.143239021
27104,-2.491832256
27136,-2.926830053
27168,-3.395163536
27216,-2.884922743
27240,-3.356257439
27264,-4.063060284
27288,-4.973377705
27336,-4.429543495
27344,-3.989325762
27376,-3.83275485
27424,-2.823535681
27440,-2.355782509
27480,-2.736257792
27512,-1.861537099
27544,-2.301538706
27560,-1.765435934
27608,-0.897460401
27632,0.00932408
27656,-0.678369939
27680,-1.125805378
27720,-0.185655355
27736,0.454203397
27768,-0.00671176
27792,0.484268874
27840,1.36904645
27856,2.277558804
27896,2.277531862
27920,2.206320763
27944,2.209358931
27984,2.456485033
27992,2.477507353
28032,1.951437116
28048,1.474118829
28080,0.985595644
28120,1.897191405
28128,1.440473914
28176,0.63694936
28208,1.508990407
28256,1.560542941
28296,1.040736675
28336,1.505237818
28344,1.047732711
28384,1.743595243
28416,1.526250958
28432,2.038363695
28472,1.510370493
28504,1.966418028
28520,0.950624406
28544,0.919647813
28568,-0.430845916
28592,-0.774368346
28616,-2.240284443
28648,-1.848135829
28656,-2.475288391
28696,-1.612895012
28728,-0.630486548
28744,-0.282167107
28792,0.143836945
28816,1.066059947
28864,1.040803432
28888,1.924665928
28912,1.460953355
28936,1.031361699
28976,0.566144824
28992,0.568448126
29024,0.578002989
29048,-0.394674748
29064,-0.430197269
29088,-0.717963934
29104,-2.29242897
29136,-2.454150677
29160,-2.418747425
29184,-2.876714468
29216,-2.364308596
29248,-1.925796151
29264,-1.560625434
29296,-1.069509625
29328,-0.59566766
29352,-0.461754203
29384,-0.456298053
29424,-0.474433154
29456,0.113372728
29504,-0.787445247
29552,-1.339396715
29568,-1.839298368
29592,-1.874459028
